tid,text
924746358237495296,RT @Aidan_Jeffery: If the brother takes you on a date &amp; suddenly changes to his husky voice...cast the brothers asthma attack out Ps @At
927218197413154818,Is this a joke? Or just Democrat Communism on steroids? https://t.co/5lEKckUldv
927439421095362560,"RT @Kitso_Morekisi: Go ditholenyana, lona ba Asthma le di chestpains le eme sentle?"
924584536251305985,#ad AeraMax 300 Air Purifier with Large Room Allergy and Asthma 4-Stage Purification https://t.co/9OHUyrYper
927464278696779776,@Hope #hopeepilepsybracelet be brave breast cancer epilepsy asthma Hope Ribbon Bracelet wholesale bulk  https://t.co/bQU8Uj2rCH via @eBay
926087365227147264,RT @MMdotcom: Do you suffer from #Asthma? How can #MedicalMarijuana offer relief? https://t.co/Cg1XTJp4Py
926130659135053825,Obese children may have more asthma complications https://t.co/D6OytynDky
926127121344409600,Modes of Infant Feeding and the Risk of Childhood Asthma: A Prospective Birth Cohort Study - ScienceDirect https://t.co/njmXP0OmuM
926178956323278848,.@StradosLabs CEO @nick_delmonico on the spot during ReversePitch session. Nice add to the #PACTCapCon agenda.#asthma
926781050843414529,Asthma Please Kill Me.I'm begging you
927044130584264704,@JonnyBones Take these 4 yrs off to hop on even more steroids (untested) &amp; come back like GSP did. Just dont spend https://t.co/5ELJPErxQO
923777117518675968,".@DrSarahDalton talks about the need rethink x-rays for diagnosing bronchiolitis, asthma &amp; non-specific abdominal p https://t.co/lyOqQJZ72v"
926927737117396993,"We have good quality Medical Mari-jua-na and Wax / Oil for sale at
discount prices .we also  supply steroids,pills https://t.co/aO7Klrt1Z6"
927001371878084609,@JesseHays91 @shaunalshatti @MMAFighting On steroids...
924465314112462848,7 Signs You Could Have Asthma https://t.co/q00KAvhKlF https://t.co/c8UBnOtUgq
926905606761533440,@The_Vonnster No sick lol I keep sneezing
924666724938584064,"Don't forget asthma. Also, there remain over1,000 toxic Superfund sites, never touched. Still toxic, like republica https://t.co/w5ZCVKGMHo"
927340016778600448,@ericgarland DB would have tossed out FDR and JFK? HRC battles pneumonia and Donna Brazile thinks about replacing h https://t.co/KJzRs3owXs
927408844417806336,"With my throat feeling a tad sore most of the day, it hasn't been the most pleasant day. Dang sinus' and drainage from this weather change."
922899165721407489,This heat has me on full asthma attack mode
924781128439025664,@Galactic_Jax @kyblsnbits I don't think that's how asthma works xD
925908029694005249,why is my asthma acting up 
927592109171003393,They being patients and colleagues at work !!! Although I cant wine  as Im on antibiotics due to a sinus infecti https://t.co/axukyySLdI
925119333235171328,@getnsentimental Ninten has asthma
924397412168486913,My bby has asthma and it sucks when he has an episode at night it's honestly the scariest thing to me
925242436640796672,"Over 100 genetic risk factors for asthma, hay fever and eczemaidentified https://t.co/HUIq8WzO9S https://t.co/tHLHMXx75D"
925597088733425664,I heard of a guy who died of a sudden asthma attack
927241019049041921,They will say we are attacking Conte. See am now. Changed formation and Morata was playing as if he was on steroids
926631895105810432,"
I mean, really, how is such a thing possible???  (and that person should research childhood asthma in central CA) https://t.co/gZq31khVBl"
924348321455595520,"Suspects R has asthma, while you can't diagnose it in infants it seems more asthmatic than chest infection. She's okay now but last night..."
927511063003885568,@GaelleFarah1 my mom has asthma 
926627700780830720,PSA: ASTHMA IS A THING. DON'T SMOKE IN THE DRIVE THRU. ASSHOLES.
927604056339681281,Study: Sufficient Zinc Intake Helps Alleviate Pneumonia in Elderly https://t.co/StyVSmkBsq
925898068490321920,Then I had a panic attack pls asthma attack the other day. Like worse feeling ever 
922918855315353600,@DeadZombie_girl Hope he feels better soon. I have asthma too. It sux
927595832639131648,Being an only born has its cons though ey....the IDGAF attitude be on steroids eish....I feel bad sometimes
926786672251097088,"I run that shit, Im breaking out of the hair mold.-Robert Pattinson talking about his hair https://t.co/Tr4FTbweA2"
926807668471107584,RT @iamgreekdiva: @catskilldelta1 @WakeUpCanada1 @TorontoStar I'm Canadian and support Trump ..we have Obama White on steroids pretty 
925648814064750593,"The flu jab is free if you have asthma which requires an inhaled or tablet steroid treatment, or has led to hospita https://t.co/dS4RehYYEz"
925462959249174528,Pollution takes heavy toll on Bay Area children with asthma  The Mercury News https://t.co/1jLW5q2EnH
926919324131930112,What Is MDI - Media Delivery Index? - Computer Technology Global Articles WebSite.WS | GVMG - Global Viral... https://t.co/V7wfb37ZoQ
924034675345121281,"Anti-science @theAGU climate scam propaganda tries to sell CO2-induced asthma and ""mental health implications"" https://t.co/MjQbTzF1Iv"
927597331498889217,Last night I had a dream I took a bunch of steroids and cut off all my hair
927443499921928192,Daisuke Murakami pulls out of NHK Trophy with pneumonia https://t.co/1dkyFbv04x
924670626668802048,also also me: I carry a mask bc sometimes even small amounts of fragrance or chemicals gives me a headache and asthma attacks.
926264101491310592,Asthma. Cigarettes.  https://t.co/mBdn6ml8lO
926727533709496321,This morning I started coughing mildly and now it's 4.30pm and I've started sneezing. Fuck. This body really can't https://t.co/A3YzQiRQZV
926627011283619842,@Momof3gngrs @rjsmith169 @Pamela_O_Plays @auxwit AFAIK asthma is still an auto fail. If you develop it after youre https://t.co/cdJwMOuiOk
923807497688772608,#biotechnology #biotechnology Global Asthma Partnering 2010 to 2017 Report Updated 01112017 Prices from USD $1495: https://t.co/Cp7AwOaqab
927476444321796096,#Virginia go out &amp; vote. Dems unite and defeat this Southern Strategy on steroids GOP.  #VAGov #GOPHypocrisy https://t.co/HFhsc9tgpY
926108952957538305,When you find out the reason your asthma isnt getting better is because your inhalers were out of date 
927242520572051456,"RT @lhsgrad4: Did you know, @RepKevinYoder, immunization is one of the most cost-effective ways to prevent pneumonia. "
926933868715921409,Both viral and bacterial infections of the upper respiratory tract can worsen #asthma.
926775914519674880,(1) Eureka Sanitaire w/activated Charcoal MM Mighty Mite HEPA HF8 Vacuum Filt ... https://t.co/kshFRIB7Kl https://t.co/OJs5Ppor4F
926841248312365062,#ad New Stainless Steel Ravioli Mould Dumpling Maker Mold Wrapper Pierogie Pie Crimp https://t.co/1YGLphj86j
924646575535636481,...and suddenly i have asthma https://t.co/h2f1uibv91
927423572376555521,"@darrenmaule @OUTASA @Energy_ZA I understand your confusion, they rotate faster than a carousel on steroids."
923741832110014465,@Sweet_Nessss My asthma
924487824480534529,Damn near had an asthma attack at PV in that air. Glad I made it home to this medicine in time tho.
927017933976502277,Why pneumonia kills more children in Nigeria than in any other country in Africa  Expert https://t.co/2QitQuwrVX
923919303350587392,Asthma &amp; #Heart Quiz 2. T or F? Hx of childhood #asthma associated w/ increased left ventricular mass in adults. https://t.co/9Fy5mIPIHl
927030489877278720,@Dazzmondo95 Steroids
923927532168196097,"Staten Island teen dies from asthma fleeing racist crew waving gun; Im gonna shoot you, n-----! -... https://t.co/3RHZA5hF2r"
927238330537914369,@DiMurphyMN Unprovoked asthma attacks due to elevated particulates in the air are good for the economy. Heres a st https://t.co/z6VMeUWovk
927070477075525632,Complaint that kids' study on vitamin D and asthma is 'unethical' leads to changes https://t.co/7r75UM5WIS
925135330096840704,RT @NoMoreAsthma: Efforts against asthma to decrease dust mites have been found to be ineffective.
926972125210202112,"Sir stop with the steroids your brain is melting
https://t.co/xSmKmS63A5"
927675715109101568,"CPS special ed rule like hospital rule 2 not give inhaler to asthma patients til theyve tried aspirin for 3 months
https://t.co/aDP7nNukjG"
925460875292573696,@DjAbyss84 You mean asthma pump?
925936543801503744,"THEY SHOOTING OUTSIDE. 

I just had an asthma attack..

Ion care"
924873513109876736,"@Lebumuseshgh @KevinSpacey 1950s: I wore 1/4"" thick glasses, corrective shoes, suffered asthma, autism, spoke w/a l https://t.co/nTwdyt5U80"
927208264340836352,@ThisWeekABC @donnabrazile Really? The @dncpress @DNC is scared of a woman with pneumonia? I call BS
924372088735064064,"Concussion last Friday, asthma attacks from Monday-Thursday. But Im here, Im still alive, God thank you."
927193553440296960,Phindi's pipes are on steroids today! Shuuu #IdolsSA https://t.co/4dE9RL3Mtr
926620578169217029,RT @push4ms: #multiplesclerosis Asthma Drug May Slow Brain Damage In Multiple Sclerosis Patients - CBS New York https://t.co/v1MvJqOhYd
927176197162897408,Asthma or a panic attack? A v fun game
925475197733421056,First Aid For Asthma Attacks (1/3) - Mild attack: https://t.co/dky0J9ZOp5
924521642335850497,Fully convinced my cat has asthma
926125851028189184,"RT @_mvs_: My family blows mine. How I get an asthma attack at work &amp; the first thing my My aunt says is ""maybe you should stop smoking hoo"
924478193792442368,Contact with dogs could protect kids against eczema and asthma #AmericanCollegeOfAllergy #AsthmaAndImmunology https://t.co/6XYVGlEt3k
925970218693943297,Asthma uk bonfire night warning: charity alerts public to 'potentially fatal' attacks: https://t.co/34GdKx5PEU qua @YouTube
924480218726879232,Studies have shown children witn asthma are especially vulner ble to ozone
926954933491965952,@PrashSanders @adcaTicTocDoc @Toaster_Pastry Sinus rhythm with artefact
926852894854385664,"@PennStateFball Defense was trash on those first 2 throws, but that DPI was an absolute joke of a call. It's called an uncatchable pass"
926406683584335872,I GAVE MYSELF AN ASTHMA ATTACK LAUGHING AT THIS! https://t.co/WUyzR26p9R
926828645917736960,After allowing the last few weeks the ability to let this whole 'Viral-fame' mold into whatever God wanted https://t.co/sue5SpZHl8
926812405186695168,@Lisa_Tempel try some diaphragm breathing to support your vocals &amp; try to learn some technical pointers on how to s https://t.co/tB6gF2FFRM
922951809341079552,Santee: Weezing  til 15:53:28 (29m 40s). https://t.co/Vc9gzLYIA3
922843488366071808,IM TRYING NOT TO HAVE AN ASTHMA ATTAcK I GENUINELY THOUGHT IT WAS HIM
927449761887633408,Literally as soon as we got into California my sinus started to get all F'd up and now that we are driving back to visalia it's just worse
923861302312820736,"""This is a great open access review of severe asthma - phenotypes and immunology https://t.co/v8IhFaCmYE"""
925445981042290688,RT @ScottWeinerMD: Dr. Lucas Carlson presenting really cool data on geocoding pediatric asthma attacks. #ACEP17 @EMRES_MGHBWH 
927023920099790848,@TJDillashaw man looks like hes been on sum steroids  no joke @danawhite @ufc
927625871967494144,I wonder how many of us are gonna lose health insurance tomorrow cuz we didnt vote.... my kids asthma meds on... https://t.co/MrtWGPiaYB
926934096496005122,Now I have a sinus infection AND A double ear infection. SOMEONE PLZ HELP ME WHAT DRUGS CAN I TAKE PREGNANT SOS   
925710521931915266,Tips for managing #asthma during the cold weather. https://t.co/kQep8JhIdS
924368087452979202,Weezing unknown/unknown (IV: ?% - CP: ? - L: ?) until 03:41:33pm https://t.co/nR6jEs9awy
926399274686074881,@MihaiDarkWolf Is just the seasonal flu vaccine. Asthma means I get it every year. Prob mean I'll be a little woozy https://t.co/qTbA61gPG7
927551710666641408,Anabolic androgenic steroids may be associated with early coronary artery disease https://t.co/iYIBj0jlpH
924330190397882368,eBay: BUILD A BEAR WORKSHOP BROWN &amp; TAN PLUSH TEDDY BEAR CERTIFIED ASTHMA FRIENDLY TAG https://t.co/tfGL33X2Np https://t.co/fuA31UbXPQ
923847393975656448,RT @Ana_Filaxia: #Asthma definition did not change too much in the last decades. Dr. Custovic #PAAM2017 https://t.co/LxYTTRx25i
926677459780616192,"What we need is more Americans with asthma &amp; other respiratory problems, &amp; also no heath care but lets charge for https://t.co/i94ZX81Oy0"
925890284138967040,fucking hell my geocache got an asthma attack in the middle of the night AAAAA why
926934859762737152,Social Media Marketing On Steroids SILENT LIST Building. https://t.co/1gyAahs19F https://t.co/ZwtzqYlwIF
926162056784441344,Canada judge keeps brain dead man 'alive' after asthma attack. BBC  https://t.co/R92zar819p
924973294834593792,"Care Gap definitions for chronic diseases
#CHEST2017 #Asthma #MedTech https://t.co/Dhake7Duwy"
927150715734282240,@HotlineJosh She worked through pneumonia you ridiculous ghoul
925734415271190528,I like my dudes with asthma  funniest thing Ibe heard
925901822539321346,"@GypsyDanger1013 So you QUIT breathing and say breathing is for quitters, hmmmm.. Do I get a head start since I have asthma?"
925424966719254528,Midway: Weezing  til 11:37:56(26m 34s). https://t.co/flWUektRBd
926540954814705666,Raid on Weezing! Moveset: Infestation/Sludge Bomb Available until 02:05:40pm (59m 47s). https://t.co/sofC9jO4PZ
923974843967479808,"@ThomasKlineMD I need meds from severe asthma, ulcers, depression. PTSD. Sleep. Had to order them 65 years now at l https://t.co/4YoGu3t3D5"
926406993904128002,AstraZeneca shrugs off asthma drug setback as blood cancer medicine wins US approval - https://t.co/TLNgqj4rAN https://t.co/X29e15ijVy via
925538920825176065,"Did you know chewing mints can help with weight loss, asthma and stress? Check out these health benefits of Mint... https://t.co/uCYyV1DCEe"
